iter,train,val
0,3.668107271194458,3.6983022689819336
250,2.3898262977600098,2.4093286991119385
500,2.0355117321014404,2.115126848220825
750,1.7777258157730103,1.9227397441864014
1000,1.6258835792541504,1.8032797574996948
1250,1.5199719667434692,1.7106631994247437
1500,1.4544970989227295,1.6528847217559814
1750,1.3968439102172852,1.603549838066101
2000,1.3519519567489624,1.577113151550293
2250,1.314448595046997,1.5577512979507446
2500,1.2919278144836426,1.5385245084762573
2750,1.256880760192871,1.5205588340759277
3000,1.2367520332336426,1.5074858665466309
3250,1.2121186256408691,1.5035977363586426
3500,1.1943566799163818,1.5001486539840698
3750,1.1719279289245605,1.487677812576294
4000,1.153889536857605,1.4974148273468018
4250,1.1375999450683594,1.4886703491210938
4500,1.1151901483535767,1.4839065074920654
4750,1.0992367267608643,1.486250638961792
5000,1.083646535873413,1.4757063388824463
